Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
*VA,CAN,16349,27387,29537,31295,57913,92679,96415,107591,120947,112966,92194,98743,104843,116434,135752,154761,170916,183723,183241,3255,8720,14185,12771,9602,123316,15452,758,1207,1005,1125,949,919,349,161,143
RUS,POL,,,,,,,,,,,,,,,,,,,,,,,7,8,11,37,244,469,674,1671,3785,6024,9355,12034,14510
DZA,BRA,,,,,,,,,,,,,,,,,,,,,,,5,5,5,7,7,6,6,5,6,5,5,6,7
THA,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,1,1,1
BEN,NGA,,,,,,,,,,,,,,,,,,,23,23,23,23,23,23,23,23,23,23,,,,,,,
AFG,LKA,,,,,,,,,,,,,,,,,,,,6,3,1,1,9,9,1,1,1,12,15,4,4,3,3,0
BIH,ZWE,,,,,,,,,,,,,,,,,,,14,37,,,,5,5,,5,5,5,9,,,,,
BOL,NOR,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,,,,,,
UKR,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,10,24,57,88,136,162,163,197,199,193
VEN,PER,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,1,1,1,7,10,12
TUR,CHE,,,,,,,,,,,,,,,,,,,2801,3410,3640,3870,5549,4580,5952,6229,6171,5859,5779,5613,5501,5516,5345,5245,4900
COG,CUB,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,2,2,1,1,,,
LBR,TUN,,,,,,,,,,,,,,,,,,,,,,1,,,2,2,,,,,,,,,
BOL,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
BFA,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,5,5
FRA,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
BGD,NZL,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,1,1,2,3,3,2,2,6,7
COD,EGY,,,,,,,,,,,,,,,,,,,7,7,7,8,28,16,13,,9,10,8,15,14,20,25,26,29
UGA,NLD,,,,,,,,,,,,,,,,,,22,22,22,28,34,36,34,,31,44,53,58,66,67,90,95,112,126
ESP,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,38,39,2431,18,6,3
IRN,JOR,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,0
SLV,MEX,,,,,,44000,140000,120000,120000,120000,120000,120000,120000,119894,3847,4033,4200,4157,4009,3324,2339,1354,1332,1324,1995,1960,1937,1913,1687,1681,1680,1679,869,171,183
LBY,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
